1670203015227|5|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|SELECT @@character_set_database|SELECT @@character_set_database
1670203017176|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into orders (delivery_id, member_id, order_date, status) values (?, ?, ?, ?)|insert into orders (delivery_id, member_id, order_date, status) values (1, 1, '2022-12-05T10:16:57.166+0900', 'ORDER')
1670203017179|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (1, 1, 1, 10000)
1670203017180|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (2, 2, 1, 20000)
1670203017189|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='JPA1 BOOK', price=10000, stock_quantity=99, author=NULL, isbn=NULL where item_id=1
1670203017191|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='JPA2 BOOK', price=20000, stock_quantity=98, author=NULL, isbn=NULL where item_id=2
1670203017197|3|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb||
1670203017201|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into member (city, street, zipcode, name) values (?, ?, ?, ?)|insert into member (city, street, zipcode, name) values ('진주', '2', '2222', 'userB')
1670203017203|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('SPRING1 BOOK', 20000, 200, NULL, NULL, 'B')
1670203017204|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('SPRING2 BOOK', 40000, 300, NULL, NULL, 'B')
1670203017206|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into delivery (city, street, zipcode, status) values (?, ?, ?, ?)|insert into delivery (city, street, zipcode, status) values ('진주', '2', '2222', NULL)
1670203017208|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into orders (delivery_id, member_id, order_date, status) values (?, ?, ?, ?)|insert into orders (delivery_id, member_id, order_date, status) values (2, 2, '2022-12-05T10:16:57.204+0900', 'ORDER')
1670203017209|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (3, 3, 2, 20000)
1670203017210|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (4, 4, 2, 40000)
1670203017213|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='SPRING1 BOOK', price=20000, stock_quantity=197, author=NULL, isbn=NULL where item_id=3
1670203017215|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='SPRING2 BOOK', price=40000, stock_quantity=296, author=NULL, isbn=NULL where item_id=4
1670203017218|2|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb||
1670203021000|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|select o1_0.order_id,d1_0.delivery_id,d1_0.city,d1_0.street,d1_0.zipcode,d1_0.status,m1_0.member_id,m1_0.city,m1_0.street,m1_0.zipcode,m1_0.name,o1_0.order_date,o1_0.status from orders o1_0 join member m1_0 on m1_0.member_id=o1_0.member_id join delivery d1_0 on d1_0.delivery_id=o1_0.delivery_id limit ?,?|select o1_0.order_id,d1_0.delivery_id,d1_0.city,d1_0.street,d1_0.zipcode,d1_0.status,m1_0.member_id,m1_0.city,m1_0.street,m1_0.zipcode,m1_0.name,o1_0.order_date,o1_0.status from orders o1_0 join member m1_0 on m1_0.member_id=o1_0.member_id join delivery d1_0 on d1_0.delivery_id=o1_0.delivery_id limit 0,100
1670203021017|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|select o1_0.order_id,o1_0.order_item_id,o1_0.count,o1_0.item_id,o1_0.order_price from order_item o1_0 where o1_0.order_id in(?,?)|select o1_0.order_id,o1_0.order_item_id,o1_0.count,o1_0.item_id,o1_0.order_price from order_item o1_0 where o1_0.order_id in(1,2)
1670203021029|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|select i1_0.item_id,i1_0.dtype,i1_0.name,i1_0.price,i1_0.stock_quantity,i1_0.artist,i1_0.etc,i1_0.author,i1_0.isbn,i1_0.actor,i1_0.director from item i1_0 where i1_0.item_id in(?,?,?,?)|select i1_0.item_id,i1_0.dtype,i1_0.name,i1_0.price,i1_0.stock_quantity,i1_0.artist,i1_0.etc,i1_0.author,i1_0.isbn,i1_0.actor,i1_0.director from item i1_0 where i1_0.item_id in(1,2,3,4)
1670203035510|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|SELECT @@character_set_database|SELECT @@character_set_database
1670203036146|24|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table category         drop         foreign key FK2y94svpmqttx80mshyny85wqr|     alter table category         drop         foreign key FK2y94svpmqttx80mshyny85wqr
1670203036157|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table category_item         drop         foreign key FKu8b4lwqutcdq3363gf6mlujq|     alter table category_item         drop         foreign key FKu8b4lwqutcdq3363gf6mlujq
1670203036168|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table category_item         drop         foreign key FKcq2n0opf5shyh84ex1fhukcbh|     alter table category_item         drop         foreign key FKcq2n0opf5shyh84ex1fhukcbh
1670203036178|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table order_item         drop         foreign key FKija6hjjiit8dprnmvtvgdp6ru|     alter table order_item         drop         foreign key FKija6hjjiit8dprnmvtvgdp6ru
1670203036189|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table order_item         drop         foreign key FKt4dc2r9nbvbujrljv3e23iibt|     alter table order_item         drop         foreign key FKt4dc2r9nbvbujrljv3e23iibt
1670203036199|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table orders         drop         foreign key FKtkrur7wg4d8ax0pwgo0vmy20c|     alter table orders         drop         foreign key FKtkrur7wg4d8ax0pwgo0vmy20c
1670203036208|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table orders         drop         foreign key FKpktxwhj3x9m4gth5ff6bkqgeb|     alter table orders         drop         foreign key FKpktxwhj3x9m4gth5ff6bkqgeb
1670203036223|14|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists category|     drop table if exists category
1670203036235|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists category_item|     drop table if exists category_item
1670203036248|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists delivery|     drop table if exists delivery
1670203036276|27|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists item|     drop table if exists item
1670203036289|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists member|     drop table if exists member
1670203036301|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists order_item|     drop table if exists order_item
1670203036313|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     drop table if exists orders|     drop table if exists orders
1670203036336|20|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table category (        category_id bigint not null auto_increment,         name varchar(255),         parent_id bigint,         primary key (category_id)     ) engine=InnoDB|     create table category (        category_id bigint not null auto_increment,         name varchar(255),         parent_id bigint,         primary key (category_id)     ) engine=InnoDB
1670203036357|20|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table category_item (        category_id bigint not null,         item_id bigint not null     ) engine=InnoDB|     create table category_item (        category_id bigint not null,         item_id bigint not null     ) engine=InnoDB
1670203036379|21|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table delivery (        delivery_id bigint not null auto_increment,         city varchar(255),         street varchar(255),         zipcode varchar(255),         status varchar(255),         primary key (delivery_id)     ) engine=InnoDB|     create table delivery (        delivery_id bigint not null auto_increment,         city varchar(255),         street varchar(255),         zipcode varchar(255),         status varchar(255),         primary key (delivery_id)     ) engine=InnoDB
1670203036403|23|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table item (        dtype varchar(31) not null,         item_id bigint not null auto_increment,         name varchar(255),         price integer not null,         stock_quantity integer not null,         artist varchar(255),         etc varchar(255),         author varchar(255),         isbn varchar(255),         actor varchar(255),         director varchar(255),         primary key (item_id)     ) engine=InnoDB|     create table item (        dtype varchar(31) not null,         item_id bigint not null auto_increment,         name varchar(255),         price integer not null,         stock_quantity integer not null,         artist varchar(255),         etc varchar(255),         author varchar(255),         isbn varchar(255),         actor varchar(255),         director varchar(255),         primary key (item_id)     ) engine=InnoDB
1670203036425|21|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table member (        member_id bigint not null auto_increment,         city varchar(255),         street varchar(255),         zipcode varchar(255),         name varchar(255),         primary key (member_id)     ) engine=InnoDB|     create table member (        member_id bigint not null auto_increment,         city varchar(255),         street varchar(255),         zipcode varchar(255),         name varchar(255),         primary key (member_id)     ) engine=InnoDB
1670203036451|25|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table order_item (        order_item_id bigint not null auto_increment,         count integer not null,         order_price integer not null,         item_id bigint,         order_id bigint,         primary key (order_item_id)     ) engine=InnoDB|     create table order_item (        order_item_id bigint not null auto_increment,         count integer not null,         order_price integer not null,         item_id bigint,         order_id bigint,         primary key (order_item_id)     ) engine=InnoDB
1670203036475|23|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     create table orders (        order_id bigint not null auto_increment,         order_date datetime(6),         status varchar(255),         delivery_id bigint,         member_id bigint,         primary key (order_id)     ) engine=InnoDB|     create table orders (        order_id bigint not null auto_increment,         order_date datetime(6),         status varchar(255),         delivery_id bigint,         member_id bigint,         primary key (order_id)     ) engine=InnoDB
1670203036553|77|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category (category_id)|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category (category_id)
1670203036627|73|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item (item_id)|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item (item_id)
1670203036689|61|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category (category_id)|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category (category_id)
1670203036745|55|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item (item_id)|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item (item_id)
1670203036820|73|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders (order_id)|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders (order_id)
1670203036881|59|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery (delivery_id)|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery (delivery_id)
1670203036944|61|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member (member_id)|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member (member_id)
1670203037046|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into member (city, street, zipcode, name) values (?, ?, ?, ?)|insert into member (city, street, zipcode, name) values ('서울', '1', '1111', 'userA')
1670203037056|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('JPA1 BOOK', 10000, 100, NULL, NULL, 'B')
1670203037059|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('JPA2 BOOK', 20000, 100, NULL, NULL, 'B')
1670203037064|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into delivery (city, street, zipcode, status) values (?, ?, ?, ?)|insert into delivery (city, street, zipcode, status) values ('서울', '1', '1111', NULL)
1670203037072|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into orders (delivery_id, member_id, order_date, status) values (?, ?, ?, ?)|insert into orders (delivery_id, member_id, order_date, status) values (1, 1, '2022-12-05T10:17:17.060+0900', 'ORDER')
1670203037076|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (1, 1, 1, 10000)
1670203037078|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (2, 2, 1, 20000)
1670203037091|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='JPA1 BOOK', price=10000, stock_quantity=99, author=NULL, isbn=NULL where item_id=1
1670203037094|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='JPA2 BOOK', price=20000, stock_quantity=98, author=NULL, isbn=NULL where item_id=2
1670203037101|3|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb||
1670203037105|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into member (city, street, zipcode, name) values (?, ?, ?, ?)|insert into member (city, street, zipcode, name) values ('진주', '2', '2222', 'userB')
1670203037107|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('SPRING1 BOOK', 20000, 200, NULL, NULL, 'B')
1670203037108|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('SPRING2 BOOK', 40000, 300, NULL, NULL, 'B')
1670203037111|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into delivery (city, street, zipcode, status) values (?, ?, ?, ?)|insert into delivery (city, street, zipcode, status) values ('진주', '2', '2222', NULL)
1670203037113|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into orders (delivery_id, member_id, order_date, status) values (?, ?, ?, ?)|insert into orders (delivery_id, member_id, order_date, status) values (2, 2, '2022-12-05T10:17:17.109+0900', 'ORDER')
1670203037115|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (3, 3, 2, 20000)
1670203037117|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into order_item (count, item_id, order_id, order_price) values (?, ?, ?, ?)|insert into order_item (count, item_id, order_id, order_price) values (4, 4, 2, 40000)
1670203037122|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='SPRING1 BOOK', price=20000, stock_quantity=197, author=NULL, isbn=NULL where item_id=3
1670203037124|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|update item set name=?, price=?, stock_quantity=?, author=?, isbn=? where item_id=?|update item set name='SPRING2 BOOK', price=40000, stock_quantity=296, author=NULL, isbn=NULL where item_id=4
1670203037131|6|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb||
1670203038730|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|select o1_0.order_id,d1_0.delivery_id,d1_0.city,d1_0.street,d1_0.zipcode,d1_0.status,m1_0.member_id,m1_0.city,m1_0.street,m1_0.zipcode,m1_0.name,o1_0.order_date,o1_0.status from orders o1_0 join member m1_0 on m1_0.member_id=o1_0.member_id join delivery d1_0 on d1_0.delivery_id=o1_0.delivery_id limit ?,?|select o1_0.order_id,d1_0.delivery_id,d1_0.city,d1_0.street,d1_0.zipcode,d1_0.status,m1_0.member_id,m1_0.city,m1_0.street,m1_0.zipcode,m1_0.name,o1_0.order_date,o1_0.status from orders o1_0 join member m1_0 on m1_0.member_id=o1_0.member_id join delivery d1_0 on d1_0.delivery_id=o1_0.delivery_id limit 0,100
1670203038743|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|select o1_0.order_id,o1_0.order_item_id,o1_0.count,o1_0.item_id,o1_0.order_price from order_item o1_0 where o1_0.order_id in(?,?)|select o1_0.order_id,o1_0.order_item_id,o1_0.count,o1_0.item_id,o1_0.order_price from order_item o1_0 where o1_0.order_id in(1,2)
1670203038752|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|select i1_0.item_id,i1_0.dtype,i1_0.name,i1_0.price,i1_0.stock_quantity,i1_0.artist,i1_0.etc,i1_0.author,i1_0.isbn,i1_0.actor,i1_0.director from item i1_0 where i1_0.item_id in(?,?,?,?)|select i1_0.item_id,i1_0.dtype,i1_0.name,i1_0.price,i1_0.stock_quantity,i1_0.artist,i1_0.etc,i1_0.author,i1_0.isbn,i1_0.actor,i1_0.director from item i1_0 where i1_0.item_id in(1,2,3,4)
